interactive,,traditional,
X,Y,X,Y
30,43.40909090909092,33,15.227272727272734
32.888888888888886,39.545454545454554,36.111111111111114,13.181818181818187
32.888888888888886,37.50000000000001,50.66666666666667,11.363636363636374
30,32.50000000000001,,
34.88888888888889,27.27272727272728,,
35.88888888888889,23.409090909090914,,
42.888888888888886,34.31818181818183,,
49.666666666666664,32.50000000000001,,
47.77777777777777,28.409090909090914,,
44.77777777777778,26.477272727272734,,
46,23.409090909090914,,
43.88888888888889,19.318181818181827,,
43.88888888888889,14.204545454545467,,
