interactive,,traditional,
X,Y,X,Y
18.064516129032256,55.57377049180327,26.935483870967744,20.983606557377044
31.774193548387096,46.885245901639344,27.096774193548384,18.032786885245898
27.903225806451616,43.93442622950819,27.096774193548384,15.081967213114751
30,39.99999999999999,40.80645161290322,16.065573770491795
27.903225806451616,37.86885245901639,,
31.935483870967737,35.08196721311475,,
32.90322580645161,32.131147540983605,,
41.77419354838709,35.901639344262286,,
34.677419354838705,27.049180327868847,,
24.032258064516128,26.065573770491795,,
