err,Analytic Sage fast
1e-03,"[0.0005315338000024591, 7.602254743963401e-06, 0.0, 2.777997016450983736e-16]"
1e-04,"[0.0005181708999977369, 5.788486043768991e-06, 0.0, 2.777997016450983736e-16]"
1e-05,"[0.0005200482666599176, 1.5644232128744348e-06, 0.0, 2.777997016450983736e-16]"
1e-06,"[0.0005185214333275023, 6.959843956835482e-07, 0.0, 2.777997016450983736e-16]"
1e-07,"[0.000523565400003766, 2.281490182466763e-06, 0.0, 2.777997016450983736e-16]"
1e-08,"[0.000517911166670577, 3.4773962027424904e-06, 0.0, 2.777997016450983736e-16]"
1e-09,"[0.0005156113999983063, 5.663138514618276e-06, 0.0, 2.777997016450983736e-16]"
1e-10,"[0.0005146285333321429, 4.297248846448436e-06, 0.0, 2.777997016450983736e-16]"
1e-11,"[0.0005147795000035937, 5.8709720656310175e-06, 0.0, 2.777997016450983736e-16]"
1e-12,"[0.0005230072666696893, 3.996199175496285e-06, 0.0, 2.777997016450983736e-16]"
1e-13,"[0.0005162475000009484, 4.77097868116268e-06, 0.0, 2.777997016450983736e-16]"
1e-14,"[0.0005152104333343838, 4.3585750867311865e-06, 0.0, 2.777997016450983736e-16]"
1e-15,"[0.0005138057333291119, 4.997756799143602e-06, 0.0, 2.777997016450983736e-16]"
